TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
06:09:00:032,117773887,27332410,33538,51472,126062,3
06:09:00:160,120000580,168508324,0,81408,987565,2
06:09:00:232,120000601,27968327,33951,47747,122589,3
06:09:00:360,120000606,167649566,0,89497,982679,2
06:09:00:432,120000593,27927409,33892,54961,122871,3
06:09:00:560,120000579,168672869,0,79964,986549,2
06:09:00:632,120000611,27964968,33956,49723,122966,3
06:09:00:760,120000517,167499036,0,90297,986165,2
06:09:00:832,120000608,27930477,33862,51193,121452,3
06:09:00:960,120000565,167920895,0,86116,982677,2
06:09:01:032,120000633,27927986,33857,48053,121399,3
06:09:01:160,120000538,168323574,0,83792,988225,2
06:09:01:232,120000634,27965715,33913,50190,123417,3
06:09:01:360,120000580,167730034,0,88433,983115,2
06:09:01:432,120000621,27945449,33904,51684,120873,3
06:09:01:560,120000507,168522487,0,81034,989701,2
06:09:01:632,120000630,27936921,33891,49743,122488,3
06:09:01:760,120000578,167600569,0,89591,983511,2
06:09:01:832,120000657,27912419,33836,49081,121271,3
06:09:01:960,120000500,168312085,0,80102,984694,2
06:09:02:032,120000645,27941253,33872,49431,121373,3
06:09:03:160,120000594,193178743,1,64556,729294,2
06:09:03:032,42877936,7497375,43906,28169,261230,3
06:09:03:360,120000576,167574656,0,89786,985808,2
06:09:03:232,120000632,27960565,34685,51133,126309,3
06:09:03:560,120000566,168184048,0,82704,981849,2
06:09:03:432,120000605,27955917,33964,50439,121209,3
06:09:03:760,120000571,168008706,0,87489,990852,2
06:09:03:632,120000627,27962719,33958,50189,122855,3
06:09:03:960,120000573,167841723,0,87291,980733,2
06:09:03:832,120000573,27950366,33960,49948,122211,3
06:09:04:160,120000570,168360765,0,82508,989440,2
06:09:04:032,120000604,27920848,33842,50679,121809,3
06:09:04:360,120000566,167679585,0,88785,983732,2
06:09:04:232,120000630,27944939,33892,52357,123216,3
06:09:04:560,120000575,168616732,0,80605,986219,2
06:09:04:432,120000612,27963567,34294,50158,123860,3
06:09:04:760,120000574,167558348,0,89755,986437,2
06:09:04:632,120000630,27967106,33947,48585,123364,3
06:09:04:960,120000649,168076802,0,83636,983665,2
06:09:04:832,120000625,27965516,33930,49220,122364,3
06:09:05:160,120000574,168115566,0,86538,987282,2
06:09:05:032,120000583,27910125,33850,51179,121343,3
06:09:05:360,120000573,167800042,0,87339,983438,2
06:09:05:232,120000629,27925813,33966,54499,124316,3
06:09:05:560,120000519,168437495,0,82024,989145,2
06:09:05:432,120000605,27951602,33933,50228,121604,3
06:09:05:760,120000569,167687366,0,89028,982160,2
06:09:05:632,120000646,27959916,33932,49820,122230,3
06:09:05:960,120000510,168613152,2,80471,987278,2
06:09:05:832,120000589,27971545,33937,51531,123780,3
06:09:06:160,120000655,167563371,0,90079,984379,2
06:09:06:032,120000647,27916261,33846,48960,122288,3
06:09:06:360,120000532,167980881,0,85070,981818,2
06:09:06:232,120000577,27956854,33903,52477,123707,3
06:09:06:560,120000562,168199431,0,84922,989827,2
06:09:06:432,120000594,27981016,33969,48242,123001,3
06:09:06:760,120000480,167766326,0,87835,983721,2
06:09:06:632,120000598,27953640,33918,50488,122234,3
06:09:06:960,120000579,168478069,0,81723,987607,2
06:09:06:832,120000618,27960751,33938,52493,123677,3
06:09:07:160,120000575,167635934,0,89125,983690,2
06:09:07:032,120000590,27915580,33837,53465,122212,3
06:09:07:360,120000536,168571049,0,80175,987522,2
06:09:07:232,120000723,31390004,81629,71476,240595,3
06:09:07:560,120000532,167499510,0,90299,985200,2
06:09:07:432,120000537,33165804,47735,62182,60173,3
06:09:07:760,120000562,167918935,0,85692,982153,2
06:09:07:632,120000537,33183616,47737,57219,59987,3
06:09:07:960,120000532,168211336,0,84228,988487,2
06:09:07:832,120000608,33202602,47781,57444,61119,3
06:09:08:160,120000522,167718992,0,87998,981116,2
06:09:08:032,120000507,33185095,47740,55525,59999,3
06:09:08:360,120000570,168468139,0,81346,988910,2
06:09:08:232,120000608,33199145,47753,56554,61109,3
06:09:08:560,120000538,167587908,0,89385,984548,2
06:09:08:432,120000666,33180376,48011,56653,61694,3
06:09:08:760,120000569,168625265,0,79934,985337,2
06:09:08:632,120000531,33237974,47831,52996,60896,3
06:09:08:960,120000511,167501078,0,90267,985648,2
06:09:08:832,120000577,33197007,47781,57209,61393,3
06:09:09:160,120000543,167856702,0,86078,981576,2
06:09:09:032,120000540,33185720,47739,56876,59971,3
06:09:09:360,120000556,168260454,0,83768,987970,2
06:09:09:232,120000660,33715066,80395,66481,181190,3
06:09:09:560,120000579,167696166,0,88250,982674,2
06:09:09:432,120000620,33181441,47956,56943,62046,3
06:09:09:760,120000581,168481218,0,81093,988269,2
06:09:09:632,120000621,33175138,47704,56315,61475,3
06:09:09:960,120000564,167544435,0,89523,984989,2
06:09:09:832,120000642,33210034,47750,55321,62815,3
06:09:10:160,120000508,168273528,0,80069,984405,2
06:09:10:032,120000640,33199150,47742,59213,61756,3
06:09:10:360,120000622,167835422,0,90239,988204,2
06:09:10:232,116986524,32400712,47077,56493,65532,3
06:09:10:560,120000503,167851605,0,86695,979849,2
06:09:10:432,120000610,33180392,48080,57987,65050,3
06:09:10:760,120000569,168298573,0,82961,990601,2
06:09:10:632,120000614,33220308,47783,54923,62379,3
06:09:10:960,120000475,167676876,0,88514,982660,2
06:09:10:832,120000589,33186251,47703,58766,62593,3
06:09:11:160,120000579,168505141,0,80859,986580,2
06:09:11:032,120000614,33220490,47799,55153,63025,3
06:09:11:360,120000570,167594809,0,89618,983198,2
