CORE_ID,TIMESTAMP,CPU_CYCLES,INSTRUCTIONS,CACHE_MISSES,BRANCH_MISSES,L2_CACHE_ACCESS,LABEL
1,19:25:06:206,120000427,265121871,0,259,7,2
3,19:25:06:238,120000637,33277602,47734,53676,76010,3
1,19:25:06:406,120000420,265130456,0,259,7,2
3,19:25:06:438,120000648,33231604,47642,60568,76508,3
1,19:25:06:606,120000430,265124145,0,244,7,2
3,19:25:06:638,120000635,33255826,47707,55172,75647,3
1,19:25:06:806,120000420,265130702,0,248,7,2
3,19:25:06:838,120000662,33256643,47686,58329,76872,3
1,19:25:07:006,120000416,265123311,0,254,7,2
3,19:25:07:038,120000638,33243520,47676,56506,76891,3
1,19:25:07:206,120000419,265133376,0,239,7,2
3,19:25:07:238,120000596,33268466,47705,58071,76480,3
1,19:25:07:406,120000424,265121437,0,248,7,2
3,19:25:07:438,120000598,33268979,47722,54734,77059,3
1,19:25:07:606,120000437,265123761,0,256,7,2
3,19:25:07:638,120000673,33260562,47686,56720,77443,3
1,19:25:07:806,120000417,265130880,0,248,7,2
3,19:25:07:838,120000662,33264711,47713,58875,77142,3
1,19:25:08:006,120000422,265123670,0,246,7,2
3,19:25:08:038,120000610,33272688,47902,56708,79179,3
1,19:25:09:606,120000441,265132451,0,272,6,2
3,19:25:09:638,397508,235807,315,1188,20647,3
1,19:25:09:606,120000441,265132451,0,272,6,2
3,19:25:09:638,397508,235807,315,1188,20647,3
1,19:25:09:606,120000441,265132451,0,272,6,2
3,19:25:09:638,397508,235807,315,1188,20647,3
1,19:25:09:606,120000441,265132451,0,272,6,2
3,19:25:09:638,397508,235807,315,1188,20647,3
1,19:25:09:606,120000441,265132451,0,272,6,2
3,19:25:09:638,397508,235807,315,1188,20647,3
1,19:25:09:606,120000441,265132451,0,272,6,2
3,19:25:09:638,397508,235807,315,1188,20647,3
1,19:25:09:606,120000441,265132451,0,272,6,2
3,19:25:09:638,397508,235807,315,1188,20647,3
1,19:25:09:806,120000570,160777524,1813116,228,6300813,2
3,19:25:09:838,71159915,17691759,59088,46476,171317,3
1,19:25:10:006,120000639,47332726,3782152,205,13117693,2
3,19:25:10:038,120000816,29185974,42240,55283,56500,3
