budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
EWMA,18123560,15754675,2368885,10638343,1577035,2088500,2070632,1824144,1571892,1498970,1388250,1337622,1330566,1336239,1307860,164592,360926,297782,261899,237863,212350,218089,208280,204710,202394,417700,748286,963457,1085144,1167909,1211977,1237106,1255798,1271886,1279080,32918,98519,138371,163076,178033,184896,191534,194883,196848,197957,
SW,18044310,15685163,2359147,10340725,1862879,2578037,383130,520543,1350236,1836982,1770193,1824360,1837321,1776519,1807842,398900,152761,100286,177388,260136,249638,258606,250859,254617,255956,2074930,1846104,1160570,751303,751303,751303,751303,751303,751303,751303,324186,317031,217316,143478,143478,143478,143478,143478,143478,143478,
AFC,17684960,15261245,2423715,10239239,1627588,1452728,2270340,1896659,1650414,1487787,1359310,1164677,1330106,1349429,1299795,210582,356476,294588,256737,231819,258104,221803,195728,201961,195917,290545,686504,928535,1072910,1155885,1196570,1190192,1218174,1244425,1255499,42116,104988,142908,165673,178902,194742,200154,199269,199807,199029,
AMBP,17617279,15162014,2455265,135158607,1599824,1141438,2290660,1944032,1681760,1495155,1403213,1366277,1346125,1320643,1172711,172849,366271,300198,258046,225054,224628,212902,207912,203735,283670,228367,640825,901466,1057524,1145050,1196682,1230601,1253705,1267092,126237295,34649,100973,140818,164263,176421,186062,191430,194726,196527,213955,
PIC,26969880,25354340,1615540,4262006640,4292867080,2535434,2535434,2535434,2535434,2535434,2535434,2535434,2535434,2535434,2535434,161554,161554,161554,161554,161554,161554,161554,161554,161554,161554,426200664,426200664,426200664,426200664,426200664,426200664,426200664,426200664,426200664,426200664,429286708,429286708,429286708,429286708,429286708,429286708,429286708,429286708,429286708,429286708,
EWMA,24703745,18619361,6084384,12713155,4122676,2920594,2856056,1348122,2056314,2139195,928164,1801666,1992859,828060,1748331,687276,874337,777530,549092,598562,609532,448396,538715,574603,426341,584118,1038505,1100428,1291605,1461123,1354531,1443958,1553738,1408602,1476547,137455,284831,383370,416514,452923,484244,477074,489402,506442,490421,
SW,24224057,18247601,5976456,12793230,4323372,3160657,980380,166017,1720632,2482605,1426802,2201344,2482249,1425736,2201179,933483,205016,338959,440000,688729,736498,604470,689053,735797,604451,2453785,2214028,1435685,955676,955676,955676,955676,955676,955676,955676,809742,725200,492486,327992,327992,327992,327992,327992,327992,327992,
AFC,24576572,18679342,5897230,12474219,3964193,2121931,2440251,2605139,2038094,971788,2157113,1766449,809915,2059205,1709457,592251,711734,775202,567392,701432,561181,438335,624706,514344,410653,424386,827559,1183075,1354078,1277620,1453518,1516104,1374867,1511734,1551278,118450,237106,344725,389258,451692,473589,466539,498172,501406,483256,
AMBP,21215612,15280159,5935453,584124579,150543205,355724,3087298,2765521,1287443,2026613,2128964,907149,907149,907149,907149,741196,784751,741546,695552,498745,570377,592916,436790,436790,436790,71224,674438,1092654,1131611,1310611,1474281,144592440,144592440,144592440,144592440,148319,275605,368793,434144,447064,471726,495964,49300530,49300530,49300530,
PIC,40881750,31559940,9321810,4253939360,4282848930,3155994,3155994,3155994,3155994,3155994,3155994,3155994,3155994,3155994,3155994,932181,932181,932181,932181,932181,932181,932181,932181,932181,932181,425393936,425393936,425393936,425393936,425393936,425393936,425393936,425393936,425393936,425393936,428284893,428284893,428284893,428284893,428284893,428284893,428284893,428284893,428284893,428284893,
EWMA,17482028,15179350,2302678,10331827,1540279,1968593,2092675,1796984,1460062,1471233,1462187,1136511,1389038,1347387,1054680,143882,371275,296220,237691,244411,226853,186326,213330,203387,179303,393718,733509,946204,1048975,1133426,1199178,1186644,1227122,1251175,1211876,28776,97275,137064,157189,174633,185077,185326,190926,193418,190595,
SW,17355937,15111376,2244561,8863856,2084385,2335535,385104,144435,1232506,1758524,1921577,1771435,1815970,1948497,1797793,378839,59077,443875,107561,172577,199808,213998,215076,240225,213525,2032725,1764670,955025,587348,587348,587348,587348,587348,587348,587348,318937,279265,279265,203504,203504,159982,159982,159982,159982,159982,
AFC,16895837,14444602,2451235,9869494,1631914,1595739,2236171,1845100,1327929,1570547,1407123,1116051,1043378,1191362,1111202,192872,360161,291791,221246,243279,220097,176789,416729,183612,144659,319147,702551,931060,1010433,1122455,1179388,1166721,1142053,1151914,1143772,38574,102891,140671,156786,174084,183286,181987,228935,219871,204829,
AMBP,16528798,14284991,2243807,247724304,38956129,1242644,2240614,1574569,1747826,1510739,1131816,1416312,1340805,1039833,1039833,175737,354507,259284,269130,228491,184658,226734,209118,168074,168074,248608,647009,832521,1015582,1114613,1118053,1177704,1210324,120179945,120179945,35227,99083,131123,158724,172677,175073,185405,190147,18904335,18904335,
PIC,29852780,25853320,3999460,4261357960,4289767980,2585332,2585332,2585332,2585332,2585332,2585332,2585332,2585332,2585332,2585332,399946,399946,399946,399946,399946,399946,399946,399946,399946,399946,426135796,426135796,426135796,426135796,426135796,426135796,426135796,426135796,426135796,426135796,428976798,428976798,428976798,428976798,428976798,428976798,428976798,428976798,428976798,428976798,
EWMA,18015512,15661728,2353784,10588473,1569223,2062771,2064751,1823726,1558371,1519055,1357090,1345146,1347398,1303953,1279467,160891,361462,293828,265241,238440,213883,214345,207339,196211,202144,412554,742993,959139,1078985,1166999,1205017,1233042,1255913,1265521,1268310,32178,98034,137192,162801,177928,185119,190964,194239,194633,196135,
SW,17966722,15595199,2371523,10415899,1790345,2555684,459158,487713,1333844,1815837,1742657,1825114,1792303,1771447,1811442,396750,108232,113695,188493,264846,255218,264009,253925,263959,262396,2068837,1857878,1167518,760238,760238,760238,760238,760238,760238,760238,325884,300586,206226,136807,136807,136807,136807,136807,136807,136807,
AFC,17603785,15204795,2398990,10215818,1609773,1429740,2293131,1871081,1639984,1506780,1378817,1147680,1336860,1325707,1275015,216364,355244,290105,251431,238087,221843,226979,201638,201694,195605,285948,687384,924123,1067295,1155192,1199917,1189470,1218948,1240299,1247242,43272,105666,142553,164328,179079,187631,195500,196727,197720,197297,
AMBP,17597651,15184774,2412877,134879091,1588919,1140432,2281728,1951661,1650959,1478456,1425097,1374307,1308800,1315898,1257436,174836,363771,298269,249417,237856,221581,212817,203593,203768,246969,228166,638878,901434,1051339,1136762,1194429,1230404,1246083,1260046,125991550,35047,100791,140286,162112,177260,186124,191462,193888,195864,206085,
PIC,27030200,25358140,1672060,4262001700,4292793600,2535814,2535814,2535814,2535814,2535814,2535814,2535814,2535814,2535814,2535814,167206,167206,167206,167206,167206,167206,167206,167206,167206,167206,426200170,426200170,426200170,426200170,426200170,426200170,426200170,426200170,426200170,426200170,429279360,429279360,429279360,429279360,429279360,429279360,429279360,429279360,429279360,429279360,
EWMA,15082795,9336304,5746491,6317571,3873710,1249477,1256726,1061101,947191,872218,825439,790403,785583,777535,770631,680765,798771,669891,594869,545548,514700,491570,488487,483205,478685,249895,451261,573229,648021,692860,719375,733580,743980,750691,754679,136153,268676,348919,398109,427596,445016,454326,461158,465567,468190,
