budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
AMBP,14846976,9159673,5687303,6124604,3802871,752280,1384731,1126990,981203,899820,849607,818620,793901,775886,776635,466342,860300,699646,609096,558831,527780,508604,492957,481469,482278,150536,397375,543298,630879,684667,717655,737848,749058,754423,758865,93348,246738,337319,391674,425105,445640,458232,465177,468435,471203,
PIC,12163830,7509500,4654330,4285204930,4288916650,750950,750950,750950,750950,750950,750950,750950,750950,750950,750950,465433,465433,465433,465433,465433,465433,465433,465433,465433,465433,428520493,428520493,428520493,428520493,428520493,428520493,428520493,428520493,428520493,428520493,428891665,428891665,428891665,428891665,428891665,428891665,428891665,428891665,428891665,428891665,
EWMA,24868390,21865597,3002793,15103951,1910181,3201158,3013034,2533979,2300614,2095721,1995380,1919637,1916708,1102831,1786535,205220,411233,326577,288703,253965,250114,234127,230535,651795,150524,640231,1114791,1398628,1579025,1682364,1744967,1779901,1807262,1666375,1690407,41044,115081,157380,183644,197708,208189,213376,216807,303804,273148,
SW,24200556,21156057,3044499,15908550,1909886,3624946,709927,1023600,1884803,2479698,1808204,2244944,2450092,2441816,2488027,441148,103647,115421,216541,304715,650375,308810,307250,296247,300345,2997778,2681844,1786158,1206110,1206110,1206110,1206110,1206110,1206110,1206110,343144,330249,220072,145203,145203,145203,145203,145203,145203,145203,
AFC,24605753,21725264,2880489,14498026,1980086,2211915,3269841,2663451,2339251,1469315,1933156,2049195,1956911,1951710,1880519,268311,392340,320078,283424,617979,183285,197566,198707,212285,206514,442383,1007874,1338989,1539041,1525096,1606708,1695205,1747546,1788378,1806806,53662,121397,161133,185591,272068,254312,242963,234112,229747,225101,
AMBP,24221083,21434356,2786727,14187111,152150619,1646335,3353965,2735666,1711989,2083154,2128343,2008875,1989920,1896289,1879820,197381,404054,330483,652751,200343,200343,200343,200343,200343,200343,329347,934270,1294549,1378037,1519060,1640916,1714507,1769589,1794929,1811907,39556,112455,156060,255398,25264525,25264525,25264525,25264525,25264525,25264525,
PIC,20060820,15592670,4468150,4274696810,4289158680,1559267,1559267,1559267,1559267,1559267,1559267,1559267,1559267,1559267,1559267,446815,446815,446815,446815,446815,446815,446815,446815,446815,446815,427469681,427469681,427469681,427469681,427469681,427469681,427469681,427469681,427469681,427469681,428915868,428915868,428915868,428915868,428915868,428915868,428915868,428915868,428915868,428915868,
EWMA,21245729,13394475,7851254,9088172,5310574,1913746,1775058,1504631,1336426,1234861,1175008,1138845,1116194,1103810,1095896,1025943,1066661,899931,796027,733320,696250,673948,659766,652134,647274,382749,661210,829894,931200,991932,1028547,1050606,1063723,1071740,1076571,205188,377482,481971,544782,582489,605241,618982,627138,632137,635164,
SW,20771063,13062237,7708826,9304703,5493879,2167648,396335,590720,1115940,1465182,1466255,1466120,1464498,1464730,1464809,1279533,236615,347882,658069,864411,865075,864985,863913,864223,864120,1769349,1576800,1051568,700998,700998,700998,700998,700998,700998,700998,1041575,931638,621343,414189,414189,414189,414189,414189,414189,414189,
AFC,20946597,13171263,7775334,8868062,5234827,1455035,1875738,1560051,1368495,1255841,1186974,1144924,1121447,1106478,1096280,857710,1107574,921226,807865,741525,700849,676018,662186,653217,647164,291007,607953,798372,912396,981085,1022262,1046794,1061724,1070674,1075795,171542,358748,471243,538567,579158,603496,618000,626837,632113,635123,
AMBP,20590783,12948905,7641878,8648764,5103283,1013207,1963948,1611947,1401805,1274672,1197734,1152658,1125280,1108363,1099291,592331,1160553,952300,828057,752836,707312,680627,664361,654462,649039,202721,554966,766362,893450,969694,1015302,1042773,1059274,1069091,1075131,118546,326947,452017,527225,572347,599340,615597,625349,631171,634744,
PIC,15781260,9969040,5812220,4282007530,4287411390,996904,996904,996904,996904,996904,996904,996904,996904,996904,996904,581222,581222,581222,581222,581222,581222,581222,581222,581222,581222,428200753,428200753,428200753,428200753,428200753,428200753,428200753,428200753,428200753,428200753,428741139,428741139,428741139,428741139,428741139,428741139,428741139,428741139,428741139,428741139,
EWMA,24582637,18522681,6059956,12648598,4105770,2893651,2842030,1349916,2038813,2143410,918047,1788647,1998384,815397,1734386,680960,873434,770384,546471,602000,604961,445686,542040,571044,422976,578730,1031390,1095095,1283838,1455752,1348211,1436298,1548715,1402051,1468518,136192,283640,380988,414084,451667,482325,474997,488405,504932,488540,
SW,24096532,18145095,5951437,12746816,4313513,3138479,986509,162174,1710384,2477782,1410923,2185134,2478186,1412104,2183420,928581,208822,336279,437666,687963,731183,600808,688111,731597,600427,2441337,2205271,1429054,953022,953022,953022,953022,953022,953022,953022,806078,723085,491227,327589,327589,327589,327589,327589,327589,327589,
AFC,24295247,18334509,5960738,12698582,3950125,2476823,2262649,2633730,1861795,1809045,2001636,793412,1749326,1960421,785672,688006,670420,783834,546930,539439,595298,589883,447634,538608,560686,495364,848821,1205802,1337000,1431409,1545454,1395046,1465902,1564805,1408979,137601,244164,352098,391064,420739,455650,482496,475524,488140,502649,
AMBP,20784765,15071933,5712832,705403292,191049786,1566071,3096199,1561018,2136733,2201517,902079,902079,902079,902079,902079,377747,943940,775118,575905,617744,597330,456262,456262,456262,456262,313294,869875,1008103,1233829,1427366,140110165,140110165,140110165,140110165,140110165,75629,249291,354456,398745,442544,473501,47263905,47263905,47263905,47263905,
PIC,40658690,31377270,9281420,4254176830,4282901430,3137727,3137727,3137727,3137727,3137727,3137727,3137727,3137727,3137727,3137727,928142,928142,928142,928142,928142,928142,928142,928142,928142,928142,425417683,425417683,425417683,425417683,425417683,425417683,425417683,425417683,425417683,425417683,428290143,428290143,428290143,428290143,428290143,428290143,428290143,428290143,428290143,428290143,
EWMA,25155352,21794271,3361081,15268717,1982078,3198387,3036320,2551727,2280649,2116466,2026780,1970389,1897989,1887825,827739,234123,412527,352177,300468,272869,257307,243552,249950,235530,802578,639677,1119005,1405549,1580569,1687748,1755554,1798521,1818414,1832296,1631384,46824,119964,166406,193218,209148,218779,223733,228976,230286,344744,
SW,24468849,21136784,3332065,15911949,2022019,3715588,715733,1021619,1869422,2482919,2537108,2487775,1539444,2263220,2503956,469071,118599,118703,229632,308861,307824,316206,826518,328363,308288,2990091,2688405,1817647,1202258,1202258,1202258,1202258,1202258,1202258,1202258,348523,348523,235458,155645,155645,155645,155645,155645,155645,155645,
AFC,24710337,21527714,3182623,14566884,2101753,2220971,3268760,2695744,2335604,2150063,2066255,1942943,964287,1844819,2038268,285245,410823,338840,294271,270899,252989,252229,757726,152061,167540,444194,1009107,1346434,1544268,1665427,1745592,1785062,1620907,1665689,1740204,57049,127803,170010,194862,210069,218653,225368,331839,295884,270216,
AMBP,22405955,19285708,3120247,531184550,66551367,1718023,3373330,2744100,2382297,2187360,2071007,1948611,953660,953660,953660,175863,432849,350495,303816,275571,253140,257907,774100,148253,148253,343684,949613,1308510,1523267,1656085,1739069,1780977,173961115,173961115,173961115,35252,114771,161915,190295,207350,216508,224787,334649,32532920,32532920,
PIC,42014880,37376140,4638740,4246378300,4288936920,3737614,3737614,3737614,3737614,3737614,3737614,3737614,3737614,3737614,3737614,463874,463874,463874,463874,463874,463874,463874,463874,463874,463874,424637830,424637830,424637830,424637830,424637830,424637830,424637830,424637830,424637830,424637830,428893692,428893692,428893692,428893692,428893692,428893692,428893692,428893692,428893692,428893692,
EWMA,28893752,24834566,4059186,16389285,2757500,2752591,3022345,2440906,2273297,2748674,2517282,2395635,2296946,2215076,2171814,403158,642865,542034,450453,347516,346817,337816,330079,326106,332342,550518,1044883,1324087,1513929,1760878,1912158,2008853,2066471,2096192,2111316,80631,193077,262868,300385,309811,317212,321332,323081,323686,325417,
SW,26338664,22450016,3888648,18445434,2801949,4282504,786225,1180839,2211637,2903176,3350514,1641195,2152006,1797675,2144245,654502,121168,177561,334057,443392,600314,389171,233060,420136,515287,3495295,3116650,2083189,1392900,1392900,1392900,1392900,1392900,1392900,1392900,532298,475404,317744,210929,210929,210929,210929,210929,210929,210929,
AFC,24524818,20433035,4091783,13666384,2748324,1880220,3159725,2267319,2006594,2196618,1994157,1890310,1543269,1563130,1931693,482677,623914,368826,390434,463773,422384,387429,228161,316979,407206,376044,932780,1199687,1361068,1528178,1621373,1675160,1648782,1631652,1691660,96535,202010,235373,266385,305862,329166,340818,318287,318026,335862,
AMBP,23299589,19431226,3868363,502512509,104206614,1664096,3186174,1810864,1928200,2320008,1998604,1979294,1514662,1514662,1514662,369486,643500,640372,374356,426070,405532,381837,209070,209070,209070,332899,903554,1085016,1253652,1466923,1573259,1654466,164747580,164747580,164747580,73977,187881,278379,297574,323273,339724,348146,34119220,34119220,34119220,
PIC,42329120,35187750,7141370,4249223200,4285683500,3518775,3518775,3518775,3518775,3518775,3518775,3518775,3518775,3518775,3518775,714137,714137,714137,714137,714137,714137,714137,714137,714137,714137,424922320,424922320,424922320,424922320,424922320,424922320,424922320,424922320,424922320,424922320,428568350,428568350,428568350,428568350,428568350,428568350,428568350,428568350,428568350,428568350,
EWMA,21999237,14170795,7828442,9617735,5295167,2035711,1879734,1587899,1411291,1305464,1241691,1203515,1180526,1166646,1158318,1020535,1066902,896706,793215,731520,694122,671786,658286,650106,645264,407142,701660,878907,985383,1049399,1087857,1110988,1124895,1133245,1138259,204107,376666,480674,543182,580849,603503,617159,625384,630328,633315,
SW,21494107,13810287,7683820,9839250,5479821,2291505,423150,623164,1178703,1548747,1549503,1549612,1548001,1548988,1548914,1275507,240346,345390,655036,861245,861783,861656,860531,861162,861164,1866829,1668111,1112606,741672,741672,741672,741672,741672,741672,741672,1034237,930033,620414,413591,413591,413591,413591,413591,413591,413591,
AFC,21675742,13925580,7750162,9375995,5217779,1538786,1983301,1649283,1446680,1327645,1255042,1210257,1185561,1169851,1159174,854541,1104252,918309,805245,739077,698671,673659,660019,651210,645179,307757,642865,844148,964654,1037252,1080810,1106699,1122471,1131947,1137392,170908,357576,469722,536826,577276,601555,615975,624783,630068,633090,
AMBP,21290073,13679804,7610269,9134753,5080208,1057419,2078510,1705228,1482581,1347990,1266314,1218773,1189655,1171392,1161942,578125,1158956,950578,826194,750936,705241,678734,662466,652109,646930,211563,584952,809007,943721,1024574,1072922,1102092,1119604,1129961,1136357,115705,324355,449599,524918,570121,597145,613462,623262,629031,632610,
PIC,16074980,10407010,5667970,4281438170,4287598920,1040701,1040701,1040701,1040701,1040701,1040701,1040701,1040701,1040701,1040701,566797,566797,566797,566797,566797,566797,566797,566797,566797,566797,428143817,428143817,428143817,428143817,428143817,428143817,428143817,428143817,428143817,428143817,428759892,428759892,428759892,428759892,428759892,428759892,428759892,428759892,428759892,428759892,
EWMA,15212023,9434905,5777118,6382254,3892680,1275446,1268714,1072970,945269,873464,835529,803219,786045,790360,783889,692120,801993,673930,590252,543246,518500,497281,486012,489029,484755,255089,457814,580845,653729,697676,725246,740840,749881,757976,763158,138424,271137,351695,399406,428174,446239,456447,462360,467693,471105,
SW,14849030,9182688,5666342,6563565,4052449,1535460,278756,416957,784816,1032282,1006644,1028433,1034513,1026593,1038234,948206,173255,257017,484066,636959,619915,634393,638439,633161,640931,1253673,1111598,743724,493510,493510,493510,493510,493510,493510,493510,772921,686582,459493,304779,304779,304779,304779,304779,304779,304779,
AFC,14845657,9182614,5663043,6159275,3797268,904119,1345424,1099667,955981,885398,839834,824415,768974,781535,777267,551580,831736,678869,589742,546599,518592,509746,473694,482505,479980,180823,413743,550927,631937,682629,714070,736139,742706,750471,755830,110316,254600,339453,389510,420927,440460,454317,458192,463054,466439,
AMBP,14789188,9144823,5644365,6114454,3773949,770137,1385401,1124183,982918,893124,842725,780760,798213,783191,784171,475429,855716,693648,606691,551145,520182,480471,493002,483542,484539,154107,400365,545128,632686,684773,716363,729242,743036,751067,757687,95165,247275,336549,390577,422690,442188,449844,458475,463488,467698,
PIC,12197120,7546090,4651030,4285157360,4288920940,754609,754609,754609,754609,754609,754609,754609,754609,754609,754609,465103,465103,465103,465103,465103,465103,465103,465103,465103,465103,428515736,428515736,428515736,428515736,428515736,428515736,428515736,428515736,428515736,428515736,428892094,428892094,428892094,428892094,428892094,428892094,428892094,428892094,428892094,428892094,
EWMA,21395404,13242684,8152720,8986237,5517653,1891845,1757960,1487700,1321034,1220576,1161411,1125285,1103131,1090842,1082900,1077047,1107245,932662,824883,759931,721667,698320,683989,676064,670912,378369,654287,820969,920982,980900,1017002,1038658,1051552,1059410,1064108,215409,393776,501553,566219,604961,628302,642305,650641,655725,658762,
SW,20904512,12910721,7993791,9195590,5695307,2142286,392498,583408,1102558,1447942,1448724,1448758,1447605,1448542,1448400,1326614,244766,360716,682368,896295,896793,896863,896093,896706,896577,1747829,1558617,1039397,692821,692821,692821,692821,692821,692821,692821,1080555,965739,644032,429283,429283,429283,429283,429283,429283,429283,
AFC,21075903,13016144,8059759,8763679,5426470,1438516,1853539,1541632,1352433,1240738,1172868,1131541,1107929,1093291,1083657,890052,1147933,954767,837489,768381,726330,700676,686071,677040,671020,287703,600870,789022,901704,969510,1010181,1034453,1049148,1057976,1063112,178010,371994,488548,558336,600345,625542,640568,649668,655142,658317,
AMBP,20718357,12796489,7921868,8546895,5290611,1000307,1940888,1593398,1385326,1259784,1183786,1139406,1112272,1095075,1086247,615767,1202509,987054,858051,780228,733091,705632,688796,678074,672666,200141,548290,757311,882914,958288,1003387,1030590,1046926,1056555,1062493,123233,339088,468681,546555,593289,621249,638125,648259,654222,657910,
PIC,15883720,9837340,6046380,4282178740,4287106980,983734,983734,983734,983734,983734,983734,983734,983734,983734,983734,604638,604638,604638,604638,604638,604638,604638,604638,604638,604638,428217874,428217874,428217874,428217874,428217874,428217874,428217874,428217874,428217874,428217874,428710698,428710698,428710698,428710698,428710698,428710698,428710698,428710698,428710698,428710698,
EWMA,21400160,13245617,8154543,8988665,5519173,1892177,1760851,1487061,1320726,1221122,1161200,1125230,1103567,1090683,1083000,1077287,1109152,932188,824656,760264,721534,698273,684253,675942,670994,378435,654918,821346,921222,981202,1017201,1038806,1051758,1059543,1064234,215457,394196,501794,566366,605145,628422,642392,650764,655799,658838,
SW,20908707,12913124,7995583,9197118,5696202,2142246,393143,582988,1102464,1448952,1448884,1448777,1448626,1448572,1448472,1326591,245169,360410,682318,897004,896958,896906,896786,896770,896671,1748701,1558903,1039459,692865,692865,692865,692865,692865,692865,692865,1081133,965919,644057,429299,429299,429299,429299,429299,429299,429299,
AFC,21080328,13018786,8061542,8765498,5427717,1439734,1853626,1541349,1353223,1240561,1172903,1132241,1107705,1093136,1084308,890883,1148001,954557,838009,768261,726368,701176,685932,676918,671437,287946,601082,789135,901952,969673,1010319,1034703,1049303,1058069,1063316,178176,372141,488624,558501,600453,625636,640744,649781,655208,658453,
AMBP,20729545,12803598,7925947,8551779,5293376,1000244,1942501,1595102,1385766,1260212,1184845,1139683,1112525,1096254,1086466,615534,1203289,988191,858373,780514,733770,705765,688924,678829,672758,200128,548602,757902,883474,958821,1004025,1031156,1047429,1057194,1063048,123186,339206,469003,546877,593604,621637,638462,648554,654609,658238,
PIC,15886290,9839070,6047220,4282176490,4287105890,983907,983907,983907,983907,983907,983907,983907,983907,983907,983907,604722,604722,604722,604722,604722,604722,604722,604722,604722,604722,428217649,428217649,428217649,428217649,428217649,428217649,428217649,428217649,428217649,428217649,428710589,428710589,428710589,428710589,428710589,428710589,428710589,428710589,428710589,428710589,
EWMA,25204938,19450328,5754610,13275118,3898844,2933861,2853347,1761553,1991564,2112520,1281358,1719544,1952783,1180269,1663529,652328,857113,675886,543571,599519,520136,447438,542557,488936,427126,586772,1040087,1184380,1345816,1499156,1455596,1508385,1597264,1513865,1543797,130465,275794,355812,393363,434594,451702,450849,469190,473139,463936,
SW,24671168,19002313,5668855,13427827,4101808,3183791,891775,449016,1670714,2455720,1773020,2175043,2454217,1774571,2174446,901646,235411,270587,430931,680442,647128,587864,680116,646863,587867,2567695,2325093,1508194,1003835,1003835,1003835,1003835,1003835,1003835,1003835,757385,689038,469215,312310,312310,312310,312310,312310,312310,312310,
AFC,25207428,19514292,5693136,13061279,3807070,2250589,2655740,2417482,2207283,1336657,1975230,1876633,1096781,1873555,1824342,618971,702138,703202,628929,528550,536969,508080,491409,491587,483301,450117,891241,1196489,1398647,1386249,1504045,1578562,1482206,1560475,1613248,123794,239462,332210,391553,418952,442555,455660,462809,468564,471511,
AMBP,22785065,17196349,5588716,606919708,140666281,649500,3050929,2741493,1657944,1957039,2079972,1264868,1264868,1264868,1264868,525937,795512,748136,615131,503401,571567,510181,439617,439617,439617,129980,714169,1119633,1227295,1373243,1514588,150210200,150210200,150210200,150210200,105267,243316,344280,398450,419440,449865,461928,46081245,46081245,46081245,
PIC,40832260,31825270,9006990,4253594430,4283258190,3182527,3182527,3182527,3182527,3182527,3182527,3182527,3182527,3182527,3182527,900699,900699,900699,900699,900699,900699,900699,900699,900699,900699,425359443,425359443,425359443,425359443,425359443,425359443,425359443,425359443,425359443,425359443,428325819,428325819,428325819,428325819,428325819,428325819,428325819,428325819,428325819,428325819,
EWMA,21163622,13316345,7847277,9035742,5308423,1901561,1768142,1494788,1328223,1227925,1168017,1131684,1110001,1097025,1088979,1025416,1068192,898771,795304,733048,695783,673065,659579,651601,646518,380312,657878,825260,925852,986266,1022616,1044429,1057543,1065439,1070147,205083,377704,481917,544594,582284,604983,618599,626795,631756,634708,
SW,20691788,12987058,7704730,9249500,5490195,2154537,394507,586984,1108975,1456747,1457468,1457249,1456587,1457012,1456992,1278433,236805,347448,657477,863913,864374,864202,863827,864153,864098,1758950,1567453,1045343,696822,696822,696822,696822,696822,696822,696822,1040979,930951,620895,413910,413910,413910,413910,413910,413910,413910,
AFC,20864461,13094504,7769957,8816208,5231113,1447297,1864427,1550421,1361119,1248097,1179700,1138637,1114411,1099694,1090701,857757,1106540,920164,807792,740744,700024,675745,661346,652561,647284,289459,604452,793645,907139,975330,1016204,1040690,1055434,1064286,1069569,171551,358548,470871,538255,578752,603006,617553,626311,631561,634705,
AMBP,20506807,12871518,7635289,8597178,5098986,1006773,1952220,1602801,1393383,1267063,1190556,1146005,1118638,1101494,1092585,591758,1159555,951778,827266,752175,706574,680260,663907,653621,648395,201434,551591,761833,888143,963927,1009252,1036602,1053009,1062706,1068681,118431,326655,451679,526796,571871,598811,615100,624861,630613,634169,
PIC,15705320,9899890,5805430,4282097420,4287420220,989989,989989,989989,989989,989989,989989,989989,989989,989989,989989,580543,580543,580543,580543,580543,580543,580543,580543,580543,580543,428209742,428209742,428209742,428209742,428209742,428209742,428209742,428209742,428209742,428209742,428742022,428742022,428742022,428742022,428742022,428742022,428742022,428742022,428742022,428742022,
EWMA,17864588,15522148,2342440,10465004,1556440,2023485,2016963,1762532,1638330,1444629,1371847,1383908,1271400,1271342,1337712,156341,354784,294363,264993,229564,221409,208816,205367,201442,205361,404697,727150,934226,1075046,1148962,1193539,1231612,1239569,1245923,1264280,31268,95971,135649,161517,175126,184382,189268,192487,194278,196494,
SW,16705924,14166069,2539855,11555448,2060226,2533302,499117,499117,493391,1315841,1785426,1734651,1809602,1733981,1761641,394507,74827,610964,126140,122931,123320,273548,275283,265871,272464,2053922,1854778,1854778,1175270,769450,769450,769450,769450,769450,769450,321224,288532,288532,270644,270644,124130,124130,124130,124130,124130,
AFC,17162568,14427928,2734640,9812224,1799614,1436732,2285024,1848771,1612162,1481912,1393699,1324445,396027,1270496,1378660,231148,350516,279758,255350,233246,217214,206495,708945,117436,134532,287346,686881,919259,1057839,1142653,1192862,1219178,1054548,1097737,1153921,46229,107086,141620,164366,178142,185956,190063,293839,258559,233754,
AMBP,17536530,15201755,2334775,10148351,1554756,1256125,2290003,1835909,1655845,1488663,1377348,1358240,1328119,1317893,1293610,145994,368079,292436,262758,224108,224965,212979,204304,203188,195964,251305,659044,894417,1046702,1135094,1183544,1218483,1240410,1255906,1263446,29278,97038,136117,161445,173977,184174,189935,192808,194884,195100,
PIC,12169160,10387300,1781860,4281463790,4292650860,1038730,1038730,1038730,1038730,1038730,1038730,1038730,1038730,1038730,1038730,178186,178186,178186,178186,178186,178186,178186,178186,178186,178186,428146379,428146379,428146379,428146379,428146379,428146379,428146379,428146379,428146379,428146379,429265086,429265086,429265086,429265086,429265086,429265086,429265086,429265086,429265086,429265086,
EWMA,15903667,10174765,5728902,6892299,3863694,1383868,1368454,1162966,1024859,941528,897117,872547,844294,835108,844024,677734,799089,674953,590537,539618,512828,498094,480271,474717,481061,276773,495109,628680,707915,754637,783133,801015,809670,814757,820610,135546,268254,349593,397781,426148,443484,454406,459579,462606,466297,
SW,15562892,9925232,5637660,7063081,4013911,1643215,306582,437997,850424,1115812,1105233,1113376,1111588,1119863,1121142,933305,177415,246907,482838,633716,626671,632122,630908,636465,637313,1344846,1200628,795931,531668,531668,531668,531668,531668,531668,531668,761341,683319,452542,302387,302387,302387,302387,302387,302387,302387,
AFC,15620062,9965479,5654583,6683272,3789455,990671,1452935,1183681,1055065,962779,889160,877257,872413,837507,844011,550353,828024,672139,600660,547681,503726,498860,497483,475325,480332,198134,449094,596011,687821,742812,772081,793116,808975,814681,820547,110070,253660,337355,390016,421549,437984,450159,459623,462763,466276,
AMBP,15425298,9839257,5586041,6569366,3728559,787692,1469351,1226812,1063546,964193,910335,884975,848394,846952,837007,443212,833530,697808,604429,547531,517234,503704,481336,481585,475672,157618,419964,581333,677775,735058,770113,793085,804146,812707,817567,88722,237683,329708,384652,417227,437228,450523,456685,461665,464466,
PIC,12340480,7895350,4445130,4284703320,4289188610,789535,789535,789535,789535,789535,789535,789535,789535,789535,789535,444513,444513,444513,444513,444513,444513,444513,444513,444513,444513,428470332,428470332,428470332,428470332,428470332,428470332,428470332,428470332,428470332,428470332,428918861,428918861,428918861,428918861,428918861,428918861,428918861,428918861,428918861,428918861,
EWMA,24846902,21869657,2977245,15081341,1908565,3174901,3004638,2521040,2286988,2079976,2021723,1930827,1887478,1206917,1755169,208231,410896,336210,282290,269334,249765,236631,232084,588068,163736,634980,1108911,1391336,1570466,1672368,1742239,1779956,1801460,1682551,1697074,41646,115496,159638,184168,201201,210913,216056,219261,293022,267164,
SW,24325735,21317454,3008281,15750358,1929794,3643155,704530,975863,1882315,2487390,1965178,2264910,2445636,2443714,2504763,452314,90829,124146,225364,301543,596529,312082,310167,300351,294956,2984102,2678757,1774516,1187569,1187569,1187569,1187569,1187569,1187569,1187569,350427,329477,222430,146780,146780,146780,146780,146780,146780,146780,
AFC,24604619,21705929,2898690,14516315,1986266,2293504,3220506,2645942,2329019,1546771,1914284,2016158,1938591,1958172,1842982,287056,383891,326709,283612,586985,191589,203827,205103,208156,221762,458700,1011061,1338037,1536233,1538340,1613528,1694054,1742961,1786003,1797398,57411,122707,163507,187528,267419,252253,242568,235075,229692,228106,
AMBP,24251528,21435912,2815616,14200890,147036348,1651954,3333497,2729991,1833648,2053134,2099046,1986998,1989399,1856624,1901621,188583,413294,334182,600219,213223,213223,213223,213223,213223,213223,330470,931075,1290858,1399416,1530159,1643936,1712548,1767918,1785659,1808851,37796,112895,157152,245765,24413790,24413790,24413790,24413790,24413790,24413790,
PIC,19770510,15297670,4472840,4275080310,4289152590,1529767,1529767,1529767,1529767,1529767,1529767,1529767,1529767,1529767,1529767,447284,447284,447284,447284,447284,447284,447284,447284,447284,447284,427508031,427508031,427508031,427508031,427508031,427508031,427508031,427508031,427508031,427508031,428915259,428915259,428915259,428915259,428915259,428915259,428915259,428915259,428915259,428915259,
EWMA,24692108,18612257,6079851,12707997,4119239,2916579,2842603,1360543,2052626,2145115,926028,1799978,1997271,825199,1746315,685965,872621,775098,548936,601704,607991,447883,540980,572948,425725,583315,1035172,1100246,1290722,1461600,1354485,1443583,1554320,1408495,1476059,137193,284278,382442,415740,452932,483943,476731,489580,506253,490147,
SW,24213797,18241764,5972033,12792039,4324055,3160174,985143,160426,1719944,2483180,1426037,2200121,2482707,1424752,2199280,933539,208138,336979,439165,688833,735016,604058,688396,734238,603671,2452572,2218022,1435248,955171,955171,955171,955171,955171,955171,955171,808585,725927,492885,328094,328094,328094,328094,328094,328094,328094,
AFC,24367978,18398879,5969099,12745876,3958191,2486819,2272156,2641830,1870447,1819345,2008048,791213,1757761,1965448,785812,689828,673591,785200,547543,542079,596747,586906,449758,540096,557351,497363,852321,1210222,1342267,1437682,1551755,1399647,1471269,1570104,1413246,137965,245090,353112,391998,422014,456960,482949,476311,489068,502724,
AMBP,20814722,15086360,5728362,707997496,191105941,1577319,3105244,1558438,2150846,2211173,896668,896668,896668,896668,896668,381138,945626,770139,579668,620276,593491,459506,459506,459506,459506,315543,873483,1010474,1238548,1433073,140625275,140625275,140625275,140625275,140625275,76307,250170,354163,399264,443466,473471,47277275,47277275,47277275,47277275,
PIC,40950970,31612650,9338320,4253870830,4282827460,3161265,3161265,3161265,3161265,3161265,3161265,3161265,3161265,3161265,3161265,933832,933832,933832,933832,933832,933832,933832,933832,933832,933832,425387083,425387083,425387083,425387083,425387083,425387083,425387083,425387083,425387083,425387083,428282746,428282746,428282746,428282746,428282746,428282746,428282746,428282746,428282746,428282746,
EWMA,16864450,12501587,4362863,8712339,2845712,1694195,1938970,1567990,1284295,636836,1164709,1464809,1262931,1062495,424357,367828,632378,517222,374974,524788,317620,417060,381642,275034,554317,338839,658865,840690,929411,870896,929658,1036688,1081936,1078047,947309,73565,185327,251706,276359,326044,324359,342899,350647,335524,379282,
SW,15950465,11534559,4415906,10162787,3076030,2311458,165841,165841,392608,1442542,1645265,1473647,837573,1352561,1747223,728015,31528,404086,251877,513054,498465,394559,666612,410016,517694,1946413,1628878,1628878,956636,666997,666997,666997,666997,666997,666997,582332,501674,387876,229164,229164,229164,229164,229164,229164,229164,
AFC,17015510,12643169,4372341,8383018,2921548,1384454,1887120,972936,1345065,1590989,1335288,1114803,450151,1116983,1445380,421639,554901,669750,362123,448299,399475,288033,565023,271543,391555,276890,598936,673736,808001,964598,1038736,1053949,933190,969948,1065034,84327,178441,276702,293786,324688,339645,329323,376463,355479,362694,
AMBP,14718171,10806749,3911422,311112458,135836130,922597,1999137,1030013,1385173,1610311,1362965,1094629,467308,467308,467308,270139,591241,684923,375422,455299,408414,281496,281496,281496,281496,184599,547506,644007,792240,955854,1037276,1048746,101967410,101967410,101967410,54107,161533,266211,288053,321502,338884,33601460,33601460,33601460,33601460,
PIC,24979430,17411880,7567550,4272331830,4285129460,1741188,1741188,1741188,1741188,1741188,1741188,1741188,1741188,1741188,1741188,756755,756755,756755,756755,756755,756755,756755,756755,756755,756755,427233183,427233183,427233183,427233183,427233183,427233183,427233183,427233183,427233183,427233183,428512946,428512946,428512946,428512946,428512946,428512946,428512946,428512946,428512946,428512946,
EWMA,21248559,13395573,7852986,9089090,5311831,1913643,1776108,1504342,1336573,1235080,1175343,1138719,1115865,1104038,1095862,1025696,1067580,900041,796250,733552,696536,673876,659739,652369,647347,382728,661404,829991,931307,992061,1028717,1050717,1063746,1071804,1076615,205139,377627,482109,544937,582660,605435,619123,627246,632270,635285,
