budget_function,PMU_counter_used_budget,PMU_counter_used_budget_r,PMU_counter_used_budget_w,total_calc_r,total_calc_w,used_budget_read[0],used_budget_read[1],used_budget_read[2],used_budget_read[3],used_budget_read[4],used_budget_read[5],used_budget_read[6],used_budget_read[7],used_budget_read[8],used_budget_read[9],used_budget_write[0],used_budget_write[1],used_budget_write[2],used_budget_write[3],used_budget_write[4],used_budget_write[5],used_budget_write[6],used_budget_write[7],used_budget_write[8],used_budget_write[9],calculated_read[0],calculated_read[1],calculated_read[2],calculated_read[3],calculated_read[4],calculated_read[5],calculated_read[6],calculated_read[7],calculated_read[8],calculated_read[9],calculated_write[0],calculated_write[1],calculated_write[2],calculated_write[3],calculated_write[4],calculated_write[5],calculated_write[6],calculated_write[7],calculated_write[8],calculated_write[9],
SW,14510578,8583135,5927443,6005771,4012093,1526043,3391,503653,847757,705516,1072530,1074911,712156,1067810,1069368,949534,949534,235518,238868,228984,713767,715350,473598,710632,711658,1150105,1016770,677696,451600,451600,451600,451600,451600,451600,451600,710237,710237,710237,474640,234457,234457,234457,234457,234457,234457,
AFC,13390638,8268247,5122391,5620095,3491252,638613,1390724,1140959,620483,978139,883365,468495,874044,829114,444311,424596,859507,706504,367666,610872,550609,275834,547183,517858,261762,127722,380322,532449,550055,635671,685209,641867,688302,716464,662034,84919,239836,333169,340068,394228,425504,395570,425892,444285,407781,
AMBP,14155472,8737438,5418034,150276503,93330591,862983,1345168,975587,1003566,902699,710688,841482,812207,641529,641529,541065,835756,600229,625356,562010,436365,524946,506267,393020,393020,172676,407174,520856,617398,674458,681704,713659,733368,72877605,72877605,108293,253785,323073,383529,419225,422653,443111,455742,45260590,45260590,
PIC,24699990,15227020,9472970,4275172150,4282652420,1522702,1522702,1522702,1522702,1522702,1522702,1522702,1522702,1522702,1522702,947297,947297,947297,947297,947297,947297,947297,947297,947297,947297,427517215,427517215,427517215,427517215,427517215,427517215,427517215,427517215,427517215,427517215,428265242,428265242,428265242,428265242,428265242,428265242,428265242,428265242,428265242,428265242,
EWMA,20571171,12394655,8176516,8409029,5534370,1757683,1651466,1393861,1237636,1143874,1087597,1053784,1033484,1021306,1013964,1081901,1111747,934280,826698,762115,723345,700053,686072,677687,672618,351536,611522,767989,861918,918309,952166,972489,984688,992011,996401,216380,395453,503218,567914,606754,630072,644068,652468,657511,660532,
SW,20126529,12101904,8024625,8595654,5699597,2005744,341232,554974,1038139,1360555,1360456,1360345,1360204,1360137,1360118,1330004,226223,367995,688377,902165,902106,902039,901938,901896,901882,1664244,1450619,967317,644782,644782,644782,644782,644782,644782,644782,1103583,961883,641407,427532,427532,427532,427532,427532,427532,427532,
AFC,20121416,12099028,8022388,8117955,5382595,1168333,1771428,1464799,1280107,1169270,1102765,1062875,1038928,1024569,1015954,774088,1174728,971362,848866,775353,731249,704792,688901,679381,673668,233666,541218,725934,836768,903268,943167,967108,981472,990091,995263,154817,358799,481311,554822,598928,625392,641272,650797,656513,659944,
AMBP,19827065,11922080,7904985,7944296,5267507,818912,1841071,1506692,1305205,1184331,1111800,1068289,1042161,1026512,1017107,542387,1220898,999121,865493,785336,737230,708374,691045,680671,674430,163862,499303,700780,821665,894198,937718,963832,979497,988900,994541,108557,331025,464644,544813,592917,621779,639098,649487,655723,659464,
PIC,13627160,8197650,5429510,4284310330,4287908920,819765,819765,819765,819765,819765,819765,819765,819765,819765,819765,542951,542951,542951,542951,542951,542951,542951,542951,542951,542951,428431033,428431033,428431033,428431033,428431033,428431033,428431033,428431033,428431033,428431033,428790892,428790892,428790892,428790892,428790892,428790892,428790892,428790892,428790892,428790892,
EWMA,24560848,18509113,6051735,12634589,4098957,2909047,2828907,1333621,2051723,2127339,913436,1800669,1986047,810057,1748267,681513,864496,777030,545369,593221,611492,444879,535202,575830,422703,581809,1031228,1091706,1283709,1452435,1344635,1435841,1545882,1398717,1468627,136302,281940,380958,413840,449716,482071,474632,486746,504562,488190,
SW,24093612,18148042,5945570,12722872,4307945,3153343,977979,152095,1720614,2467505,1406211,2199477,2464200,1407093,2199525,929180,202791,341182,436858,681641,735586,601160,680758,735210,601204,2438798,2204665,1427806,950229,950229,950229,950229,950229,950229,950229,805475,722811,491051,326944,326944,326944,326944,326944,326944,326944,
AFC,24220046,18420672,5799374,12330349,3906937,2098146,2422442,2609425,1949821,990508,2171003,1656730,841831,2075536,1605230,581971,711633,773649,541311,694842,565635,408265,617552,521338,383178,419629,820191,1178037,1332393,1264016,1445413,1487676,1358507,1501912,1522575,116394,235441,343082,382727,445150,469247,457051,489151,495588,473106,
AMBP,20984066,15077581,5906485,579968871,149073787,392794,3079703,2730532,1255314,2033885,2108065,869322,869322,869322,869322,738924,782889,730932,689413,499162,562709,581067,440463,440463,440463,78638,678851,1089187,1122412,1304706,1465377,143557425,143557425,143557425,143557425,147864,274869,366081,430747,444430,468085,490681,48817010,48817010,48817010,
